timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw,flight_mode,armed_status,proposed_x,proposed_y,proposed_z,approved_x,approved_y,approved_z,ai_confidence,safety_status,rejection_reason,failsafe_active
1784672239.9541645,0.025917084887623787,0.02150242030620575,-0.11509844660758972,0.007080426439642906,0.0011431287275627255,-0.007403858471661806,-0.0002761078452571193,0.00027248490706138485,1.6738136157464079,MANUAL,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.052377,0.025391656905412674,0.019920362159609795,-0.11509385704994202,0.0074113053269684315,0.00017655798001214862,-0.007525642868131399,-0.0003031187021931592,0.00028547642092547146,1.6738079874487246,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.152265,0.025073125958442688,0.017705660313367844,-0.11543409526348114,0.007711158599704504,-0.001234407420270145,-0.007462750189006329,-0.0003277490887334011,0.0003422350340274627,1.6737999569581052,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.2520719,0.025040043517947197,0.01618216373026371,-0.11587011814117432,0.007828865200281143,-0.002249450422823429,-0.007723186630755663,-0.0003432273498841043,0.00036982503049248235,1.673772389969121,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.3518898,0.025660770013928413,0.014063519425690174,-0.11644062399864197,0.008264335803687572,-0.0038261301815509796,-0.00810714066028595,-0.00032101117353865475,0.00037746455369002844,1.6737613705255758,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.4518454,0.026705052703619003,0.011999589391052723,-0.1166311502456665,0.008661574684083462,-0.0051588024944067,-0.008253214880824089,-0.00033124521550804514,0.0004079205213553968,1.6737052756745525,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.552208,0.027748124673962593,0.009854485280811787,-0.11642026901245117,0.00912354327738285,-0.006294767837971449,-0.00836385227739811,-0.0003625125880832748,0.00045761016514047405,1.6736802416975216,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.6517894,0.028887800872325897,0.007697511930018663,-0.11599373817443848,0.00946773774921894,-0.007673827465623617,-0.008125582709908485,-0.00037565378300125757,0.0004648818743689472,1.6736575792985797,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.7518237,0.030506791546940804,0.004966122098267078,-0.11504112184047699,0.010004132986068726,-0.009168676100671291,-0.007859120145440102,-0.000370560903507942,0.000497910389295154,1.6736156481603301,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.8520281,0.03233443573117256,0.0024637109600007534,-0.11339041590690613,0.010745172388851643,-0.010413601994514465,-0.006924406159669161,-0.0003522750823665959,0.0005245943561528379,1.6736168523107944,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
1784672240.9878025,0.034144338220357895,0.00024685877724550664,-0.11124549806118011,0.011339071206748486,-0.011038271710276604,-0.006179830525070429,-0.0003546932535993693,0.0005496577636510318,1.6735982705688284,4,False,0.0,0.0,5.0,0.0,0.0,5.0,0.95,APPROVED,OK,False
